Título do Produto,Preço do Produto
"Notebook Acer A315-24p-r611 R5 8gb 256gb Ssd 15.6'' W11h Cor Prateado","R$2.299"
"Notebook Positivo Master N4340 preta Intel Core i3 10110U  8GB de RAM 256GB SSD, Intel UHD Graphics 1920x1080px Windows 11 Home","R$1.877,9020% OFF"
"Notebook Acer Asp3 A315-510p-34xc I3 8gb 256gb Ssd 15.6 W11","R$2.381"
"Notebook Asus Vivobook Amd R5 8gb 512ssd W11 15,6 Full Hd Cor Prata metálico","R$2.499"
"Notebook Positivo Vision C15 4gb 128gb 15.6'' Hd Cinza W11","R$897,70"
"Notebook Asus Vivobook 15 Core I3 4gb 256ssd W11 15,6 Prata Cor Prateado","R$2.049,9016% OFF"
"Notebook Acer Aspire 5 A515-57-76mr I7 W11 8gb 512gb 15.6","R$3.79911% OFF"
"Notebook Lenovo Ideapad 3i Celeron 4gb 128gb Ssd W11 15.6 Cor Prateado","R$1.72938% OFF"
"Notebook Asus M1502ia-ej251w R5 8gb 256gb W11 15,60  Fhd Cor Prateado","R$2.399"
"Notebook Acer Aspire 3 A315-56 cinza-oscura 15.6", Intel Core i3 1005G1  8GB de RAM 1TB HDD, Intel UHD Graphics G1 (Ice Lake 32 EU) 60 Hz 1366x768px Windows 11 Home","R$2.29917% OFF"
"Notebook Celeron 15.6 128gb Ssd 4gb W11 82bu0006br Lenovo Cor Prateado","R$1.72938% OFF"
"Notebook Samsung Galaxy Book Go NP340XLA-K06BR Snapdragon 4GB 128GB SSD W11 C/ Office Personal 365","R$1.549"
"Notebook Lenovo Ideapad 1 Celeron 4gb 128gb Ssd 15,6 W11 Cor Cinza","R$1.399"
"Notebook Multilaser Ultra UB220 prata táctil 15.6", Intel Celeron N4020  4GB de RAM 120GB SSD, Intel UHD Graphics 600 Windows 11 Home","R$1.299"
"Galaxy Book2 Intel Core I5-1235u, 8gb, 512gb Ssd, 15.6''","R$3.14912% OFF"
"Notebook Samsung Book Intel Core I7 Windows11 8gb, 256gb Ssd","R$2.987,0717% OFF"
"Notebook Lenovo Gaming I5 8gb 512gb Ssd Gtx 1650 15.6 W11 Cor","R$3.899"
"Notebook Core I5 Dell 16gb Ram 256gb Ssd M2 Dell Latitude","R$2.467"
"Apple Macbook Air (13 polegadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Cinza-espacial","R$6.101"
"Notebook Lenovo Ideapad 1 I5 8gb 512gb W11h 14 Abyss Blue","R$2.7295% OFF"
"Notebook 2 Em 1 Positivo Duo C4128b-3 4gb 128gb W11 Cor Cinza-escuro","R$1.43410% OFF"
"Notebook Acer Vero Av15- 51-53ap I5 8gb 256gb Ssd 15.6 Eco","R$3.09917% OFF"
"Notebook Asus Vivobook 16 Intel Core I7 8gb 256ssd Keepos Cor Prateado","R$2.949"
"Notebook Acer Nitro 5 54uh Ci5 W11 8gb 512gb Rtx3050 15.6","R$5.499"
"Notebook Multilaser Legacy Book 14,1'' 64gb Celeron 4gb Win11 Home Microsoft 365 Personal Preto - Pc270","R$999,9018% OFF"
"Notebook Asus Vivobook Amd R7 8gb 256ssd Linux 15,6 Prata Cor Prateado","R$2.679"
"Notebook Vaio Fe15 8gb Ram 512gb Ssd Core I5 W11 Grafite","R$2.914,6015% OFF"
"Notebook Asus Vivobook 15 Core I3 4gb 256ssd Linux Prata Cor Prateado","R$1.789"
"Notebook Dell Inspiron Intel Core I5-1135g7 8gb 256gb Ssd Tela 15.6 Fullhd Windows 11 I15-i1100-a35p","R$3.251,2510% OFF"
"Notebook Positivo Vision C14 cinza Intel Celeron 8GB de RAM 240GB SSD 1366x768px Linux Debian 10","R$1.29923% OFF"
